ID,Name,Age,Email,City,Score
1,Alice,47,user1@example.com,Sydney,50.6
2,Mary,48,user2@example.com,Melbourne,62.08
3,John,50,user3@example.com,Sydney,85.22
4,Lucy,38,user4@example.com,Adelaide,51.38
5,Steve,53,user5@example.com,Adelaide,61.23
6,Lucy,22,user6@example.com,Brisbane,63.17
7,Steve,27,user7@example.com,Sydney,55.36
8,Lucy,21,user8@example.com,Brisbane,58.61
9,Mary,57,user9@example.com,Brisbane,89.73
10,John,50,user10@example.com,Adelaide,61.25
11,Lucy,30,user11@example.com,Brisbane,87.73
12,Lucy,41,user12@example.com,Sydney,98.99
13,John,60,user13@example.com,Sydney,66.57
14,Alice,25,user14@example.com,Perth,73.55
15,Mary,46,user15@example.com,Melbourne,63.94
16,Alice,49,user16@example.com,Adelaide,87.6
17,Steve,21,user17@example.com,Perth,51.67
18,Tom,45,user18@example.com,Perth,64.27
19,John,42,user19@example.com,Perth,71.81
20,Alice,56,user20@example.com,Melbourne,91.88
21,Mary,50,user21@example.com,Perth,64.86
22,John,57,user22@example.com,Brisbane,82.82
23,Steve,22,user23@example.com,Brisbane,74.57
24,Steve,22,user24@example.com,Melbourne,84.17
25,John,42,user25@example.com,Melbourne,68.27
26,Alice,43,user26@example.com,Sydney,99.75
27,Steve,30,user27@example.com,Melbourne,60.29
28,Tom,31,user28@example.com,Brisbane,63.46
29,Alice,30,user29@example.com,Sydney,52.37
30,Mary,47,user30@example.com,Melbourne,95.24
31,Mary,31,user31@example.com,Perth,77.52
32,Steve,21,user32@example.com,Adelaide,78.46
33,Steve,31,user33@example.com,Adelaide,50.48
34,Tom,42,user34@example.com,Adelaide,95.89
35,John,52,user35@example.com,Melbourne,98.48
36,Alice,18,user36@example.com,Brisbane,94.16
37,Mary,59,user37@example.com,Melbourne,92.59
38,Alice,57,user38@example.com,Melbourne,77.8
39,Steve,35,user39@example.com,Perth,81.78
40,John,22,user40@example.com,Melbourne,85.15
41,Lucy,46,user41@example.com,Melbourne,90.61
42,Alice,56,user42@example.com,Melbourne,87.8
43,Steve,33,user43@example.com,Perth,52.47
44,John,22,user44@example.com,Sydney,98.14
45,Tom,21,user45@example.com,Brisbane,67.99
46,John,22,user46@example.com,Adelaide,62.29
47,Mary,22,user47@example.com,Brisbane,93.94
48,Steve,57,user48@example.com,Melbourne,55.0
49,Mary,53,user49@example.com,Perth,62.71
50,Steve,22,user50@example.com,Sydney,88.88
